Activity Type, Date, Duration, Distance, Average heart rate
Running, 19/03/2020, 110, 13.41, 124
Cycling, 21/07/2022, 49,  8.79, 110
Cycling, 06/02/2020, 91, 28.56, 134
Cycling, 02/08/2021, 85, 22.35, 109
Swimming, 08/02/2020, 90,  2.95, 146
Swimming, 12/09/2020, 64,  2.40, 102
Cycling, 31/10/2022, 68, 13.51, 137
Running, 25/05/2020, 64,  8.72, 135
Running, 07/08/2020, 52,  8.93, 103
Swimming, 31/07/2022, 91,  4.09, 116
Cycling, 14/07/2020, 118, 28.75, 115
Cycling, 14/04/2021, 62, 14.82, 129
Running, 19/03/2021, 104, 10.97, 107
Cycling, 12/06/2021, 54, 10.96, 123
Running, 30/08/2020, 110, 18.05, 126
Cycling, 05/08/2021, 60, 15.82, 105
Swimming, 10/11/2021, 70,  2.09, 114
Cycling, 10/02/2022, 86, 23.84, 124
Cycling, 23/05/2020, 120, 32.54, 129
Running, 29/06/2021, 58,  7.88, 131
Running, 15/03/2022, 89, 11.92, 124
Cycling, 08/11/2022, 55, 11.04, 100
Swimming, 06/07/2021, 47,  2.54, 144
Running, 03/03/2020, 78, 11.19, 118
Cycling, 27/12/2022, 87, 26.57, 100
Swimming, 19/04/2022, 106,  3.44, 138
Running, 25/06/2021, 54,  6.31, 143
Swimming, 02/07/2022, 91,  4.76, 111
Cycling, 05/02/2021, 62, 17.38, 143
Running, 24/11/2020, 58,  7.55, 148
Running, 01/01/2022, 52,  7.45, 91
Swimming, 03/04/2021, 68,  2.60, 142
Cycling, 12/12/2021, 52, 12.22, 147
Running, 17/06/2020, 62,  9.26, 129
Cycling, 01/10/2021, 72, 22.47, 140
Swimming, 04/02/2021, 33,  0.91, 148
Swimming, 29/09/2020, 96,  4.71, 101
Cycling, 13/01/2023, 49, 14.15, 124
Cycling, 29/12/2021, 113, 30.70, 147
Running, 25/12/2021, 79, 12.95, 134
Running, 18/04/2022, 71,  9.97, 139
Swimming, 22/05/2020, 103,  3.73, 114
Running, 15/09/2020, 43,  5.67, 126
Running, 11/11/2020, 91, 13.36, 150
Cycling, 17/11/2020, 38,  7.46, 137
Running, 02/06/2020, 56,  9.01, 131
Cycling, 21/01/2023, 44, 12.70, 141
Swimming, 15/07/2020, 31,  0.91, 139
Cycling, 25/06/2020, 83, 17.50, 135
Cycling, 10/09/2021, 115, 20.36, 136
Running, 01/03/2021, 101, 14.37, 141
Running, 20/08/2022, 107, 14.58, 108
Running, 07/04/2020, 69,  7.59, 115
Running, 17/12/2020, 96, 12.33, 144
Cycling, 03/11/2021, 69, 18.28, 145
Running, 30/12/2022, 86, 13.73, 131
Swimming, 16/11/2022, 87,  2.46, 141
Swimming, 14/04/2022, 84,  3.05, 99
Running, 29/01/2023, 120, 16.20, 100
Cycling, 18/02/2020, 53, 14.69, 130
Swimming, 01/02/2020, 41,  2.14, 124
Running, 22/06/2021, 106, 16.02, 107
Swimming, 23/12/2020, 119,  7.48, 118
Swimming, 05/10/2022, 36,  1.49, 132
Running, 24/08/2022, 84,  8.87, 128
Cycling, 18/09/2020, 102, 19.47, 124
Running, 28/10/2022, 70,  7.55, 139
Cycling, 27/06/2021, 96, 21.24, 145
Cycling, 27/01/2020, 43,  9.16, 121
Running, 22/01/2022, 72,  9.62, 150
Running, 01/06/2021, 56,  8.63, 138
Swimming, 27/11/2021, 43,  1.72, 117
Running, 15/08/2020, 62,  9.19, 124
Running, 13/11/2021, 105, 10.55, 108
Swimming, 21/02/2020, 76,  3.06, 113
Swimming, 24/01/2022, 59,  2.27, 128
Cycling, 03/04/2021, 68, 14.93, 132
Running, 13/02/2022, 37,  6.13, 114
Running, 08/04/2021, 90, 13.09, 125
Running, 03/04/2022, 95, 14.12, 101
Cycling, 18/04/2021, 37, 11.58, 94
Running, 06/03/2021, 108, 14.30, 102
Running, 15/12/2022, 30,  5.25, 98
Cycling, 15/10/2020, 117, 32.22, 145
Cycling, 24/06/2022, 85, 26.03, 95
Running, 19/01/2022, 114, 12.25, 98
Cycling, 02/01/2022, 102, 17.28, 109
Swimming, 10/12/2022, 111,  6.91, 119
Cycling, 07/01/2023, 102, 24.79, 111
Cycling, 17/02/2020, 54, 12.48, 139
Swimming, 11/01/2022, 102,  5.91, 111
Running, 03/12/2020, 59,  9.09, 107
Running, 15/04/2022, 47,  5.35, 137
Running, 25/02/2022, 49,  5.35, 131
Running, 25/07/2021, 42,  5.17, 138
Running, 20/11/2022, 47,  6.47, 99
Running, 29/01/2021, 119, 17.04, 108
Swimming, 20/07/2022, 58,  1.55, 135
Running, 24/09/2021, 62,  9.31, 113
Running, 23/11/2020, 112, 14.02, 147
Running, 25/05/2021, 41,  5.81, 92
Swimming, 19/04/2020, 46,  1.65, 103
Swimming, 28/05/2020, 74,  3.34, 133
Running, 13/09/2021, 111, 16.71, 93
Swimming, 02/01/2023, 81,  5.15, 117
Swimming, 10/03/2020, 72,  4.11, 112
Cycling, 26/11/2022, 100, 20.94, 108
Running, 08/08/2022, 53,  8.87, 118
Cycling, 13/09/2022, 69, 12.59, 103
Swimming, 14/10/2021, 77,  2.55, 150
Running, 04/02/2020, 58,  6.02, 112
Swimming, 06/01/2022, 82,  4.62, 147
Running, 06/12/2020, 103, 10.31, 90
Swimming, 22/01/2021, 52,  2.89, 125
Running, 05/11/2020, 52,  5.59, 135
Cycling, 13/01/2023, 73, 12.71, 137
Swimming, 03/07/2021, 113,  4.78, 107
Swimming, 07/12/2020, 45,  1.49, 98
Cycling, 08/03/2022, 58, 12.96, 144
Running, 30/06/2021, 32,  3.64, 131
Cycling, 14/02/2021, 114, 28.84, 105
Swimming, 26/08/2022, 79,  5.00, 118
Running, 07/02/2020, 63,  7.00, 149
Swimming, 19/09/2022, 108,  5.69, 103
Swimming, 22/01/2020, 114,  3.43, 109
Swimming, 03/09/2021, 43,  1.18, 112
Cycling, 20/06/2021, 83, 24.59, 90
Running, 08/03/2021, 116, 17.86, 94
Running, 17/08/2021, 46,  5.52, 123
Running, 04/12/2020, 76, 10.79, 115
Swimming, 15/02/2021, 30,  1.60, 119
Cycling, 05/04/2022, 71, 21.50, 130
Running, 19/06/2020, 69, 10.51, 136
Cycling, 27/12/2021, 86, 26.95, 142
Swimming, 17/12/2021, 52,  2.89, 136
Swimming, 04/01/2022, 71,  2.74, 140
Cycling, 08/12/2020, 92, 26.91, 114
Cycling, 20/09/2022, 83, 16.32, 127
Cycling, 05/07/2020, 83, 17.47, 108
Running, 12/08/2020, 115, 11.85, 132
Cycling, 22/02/2021, 103, 20.17, 147
Cycling, 15/03/2021, 93, 22.44, 133
Cycling, 11/05/2020, 115, 34.07, 148
Running, 18/05/2022, 97, 10.90, 108
Swimming, 21/01/2022, 100,  3.56, 117
Running, 05/04/2021, 92, 16.10, 113
Running, 09/06/2020, 48,  5.36, 106
Cycling, 17/05/2020, 75, 21.14, 115
Swimming, 02/12/2020, 46,  2.86, 101
Running, 16/07/2020, 62,  7.31, 140
Cycling, 01/08/2020, 86, 21.33, 93
Running, 06/04/2020, 36,  4.22, 127
Cycling, 30/01/2022, 61, 11.64, 134
Running, 07/04/2022, 52,  5.84, 106
Cycling, 06/11/2021, 119, 30.73, 91
Swimming, 01/05/2021, 95,  5.36, 139
Swimming, 14/06/2022, 48,  3.02, 148
Swimming, 07/04/2021, 46,  1.68, 115
Swimming, 05/02/2022, 75,  2.22, 148
Swimming, 16/07/2021, 72,  2.42, 95
Swimming, 04/05/2020, 55,  1.86, 148
Running, 11/08/2021, 66,  9.24, 104
Running, 24/12/2022, 76, 10.60, 117
Swimming, 10/05/2020, 44,  2.50, 146
Cycling, 10/01/2020, 116, 25.51, 103
Running, 08/12/2022, 48,  5.72, 120
Cycling, 11/01/2023, 61, 17.08, 110
Swimming, 19/10/2020, 43,  1.55, 142
Running, 20/02/2020, 48,  8.13, 146
Running, 25/09/2022, 102, 12.93, 94
Running, 05/05/2021, 34,  5.56, 136
Cycling, 23/07/2022, 75, 23.39, 138
Cycling, 23/08/2020, 91, 26.10, 117
Swimming, 18/04/2020, 77,  2.38, 114
Swimming, 16/06/2021, 44,  2.09, 110
Swimming, 29/09/2022, 103,  4.35, 109
Swimming, 07/11/2020, 58,  1.94, 122
Swimming, 14/08/2020, 80,  3.45, 110
Running, 03/08/2022, 81, 13.24, 93
Running, 21/08/2021, 53,  9.06, 105
Cycling, 23/10/2021, 80, 25.17, 118
Swimming, 13/05/2022, 33,  1.60, 98
Running, 10/12/2020, 55,  8.64, 108
Swimming, 05/06/2020, 47,  2.13, 130
Swimming, 11/01/2020, 85,  4.25, 99
Swimming, 30/10/2021, 98,  3.61, 112
Cycling, 05/09/2022, 106, 26.55, 103
Running, 26/04/2021, 65,  7.80, 120
Swimming, 25/05/2022, 87,  2.43, 103
Swimming, 30/01/2023, 40,  2.35, 121
Running, 02/05/2020, 73,  8.01, 94
Cycling, 20/03/2022, 40, 10.75, 103
Swimming, 17/08/2020, 112,  5.32, 99
Running, 25/08/2021, 94, 11.73, 97
Running, 18/05/2020, 31,  5.16, 108
Cycling, 03/10/2021, 55, 11.66, 91
Swimming, 26/12/2020, 91,  4.05, 111
Cycling, 23/04/2022, 68, 16.24, 135
Running, 18/06/2022, 100, 14.89, 125
Running, 06/03/2022, 97, 14.01, 105
Swimming, 04/05/2022, 85,  4.32, 145
Swimming, 07/05/2020, 92,  2.67, 111
Swimming, 22/01/2023, 35,  2.10, 125
Swimming, 29/06/2022, 111,  6.53, 140
Cycling, 23/07/2020, 43, 12.81, 122
Swimming, 08/01/2020, 75,  2.61, 145
Cycling, 10/05/2021, 75, 22.50, 114
Cycling, 14/01/2023, 69, 18.99, 135
Swimming, 10/08/2022, 35,  2.14, 112
Running, 15/01/2021, 119, 18.51, 109
Cycling, 15/01/2020, 44,  7.38, 136
Swimming, 29/05/2022, 116,  6.69, 140
Cycling, 23/11/2020, 44, 13.65, 99
Cycling, 21/03/2021, 88, 21.15, 92
Running, 26/08/2020, 116, 13.07, 100
Swimming, 13/04/2021, 76,  4.22, 115
Running, 25/02/2021, 61,  9.70, 95
Cycling, 15/11/2022, 39,  8.26, 148
Running, 19/05/2021, 35,  4.38, 122
Cycling, 12/04/2021, 77, 15.68, 136
Cycling, 19/06/2021, 76, 14.14, 96
Cycling, 13/11/2020, 92, 23.59, 108
Running, 20/04/2020, 69,  8.93, 132
Cycling, 23/03/2022, 107, 20.15, 134
Swimming, 20/09/2021, 39,  2.13, 108
Cycling, 28/01/2021, 78, 21.41, 113
Running, 28/11/2020, 38,  4.63, 100
Swimming, 18/11/2022, 75,  4.49, 140
Cycling, 20/07/2020, 116, 36.42, 120
Cycling, 17/06/2021, 47, 14.44, 137
Swimming, 03/09/2020, 67,  1.86, 138
Cycling, 14/08/2021, 70, 12.96, 107
Swimming, 01/09/2022, 82,  3.34, 131
Running, 02/03/2021, 64, 10.80, 137
Cycling, 03/07/2022, 70, 15.47, 117
Swimming, 15/12/2020, 74,  4.21, 112
Running, 25/03/2021, 59,  9.90, 146
Swimming, 16/04/2022, 99,  4.42, 109
Cycling, 13/07/2021, 57, 12.63, 108
Running, 11/10/2020, 48,  6.99, 131
Running, 26/11/2021, 52,  7.71, 133
Swimming, 19/07/2021, 106,  6.04, 152
Running, 24/02/2020, 77, 12.46, 129
Running, 19/11/2021, 50,  6.25, 95
Cycling, 11/02/2020, 44, 10.53, 93
Running, 06/09/2020, 39,  4.17, 99
Running, 25/01/2022, 72, 12.34, 95
Swimming, 16/09/2020, 80,  3.10, 114
Running, 16/03/2022, 73, 10.08, 127
Cycling, 21/09/2020, 108, 33.74, 147
Cycling, 06/12/2020, 89, 26.17, 110
Cycling, 10/11/2022, 76, 18.39, 109
Running, 06/08/2022, 94, 11.97, 134
Cycling, 24/05/2021, 59, 10.49, 102
Swimming, 06/11/2022, 100,  4.74, 101
Running, 23/04/2020, 114, 12.58, 143
Running, 01/11/2020, 88, 10.84, 108
Running, 19/11/2022, 94, 10.83, 108
Cycling, 11/11/2022, 55, 10.44, 135
Swimming, 02/02/2021, 48,  1.91, 152
Cycling, 05/12/2020, 90, 20.96, 137
Running, 18/03/2021, 86, 12.47, 104
Cycling, 09/07/2021, 89, 20.85, 150
Cycling, 03/08/2020, 96, 24.68, 135
Running, 18/01/2021, 58,  6.00, 104
Cycling, 08/05/2020, 84, 26.31, 134
Swimming, 31/08/2021, 34,  1.57, 152
Swimming, 22/04/2021, 48,  2.05, 110
Running, 28/12/2021, 99, 17.31, 99
Swimming, 25/07/2022, 73,  4.52, 122
Running, 02/02/2020, 66,  8.17, 98
Running, 04/04/2022, 40,  5.67, 115
Cycling, 21/06/2022, 55, 17.13, 136
Cycling, 15/01/2022, 74, 15.05, 99
Cycling, 16/12/2021, 85, 25.98, 132
Cycling, 16/01/2020, 66, 20.84, 138
Cycling, 30/07/2020, 37,  7.06, 126
Swimming, 22/08/2022, 37,  1.43, 131
Running, 04/11/2020, 119, 14.96, 133
Cycling, 07/01/2020, 64, 19.06, 107
Running, 16/02/2022, 107, 16.39, 111
Running, 19/09/2020, 57,  8.81, 148
Cycling, 07/02/2022, 57,  9.72, 148
Cycling, 05/08/2020, 33, 10.04, 110
Swimming, 03/02/2021, 83,  4.86, 152
Running, 30/09/2020, 108, 11.91, 135
Swimming, 19/03/2022, 67,  1.80, 101
Running, 11/02/2021, 54,  8.46, 99
Swimming, 27/10/2020, 82,  3.46, 137
Running, 07/07/2022, 115, 15.10, 102
Cycling, 08/10/2020, 72, 16.80, 134
Running, 02/03/2022, 38,  5.03, 151
Running, 24/03/2022, 33,  4.60, 144
Running, 07/08/2022, 34,  5.66, 133
Swimming, 13/12/2020, 71,  2.42, 129
Running, 02/05/2022, 79, 12.03, 102
Cycling, 15/08/2022, 36,  9.37, 115
Cycling, 16/05/2021, 47, 12.76, 113
Cycling, 09/04/2020, 42, 12.45, 125
Swimming, 30/10/2022, 96,  2.97, 125
Swimming, 27/09/2022, 31,  1.22, 147
Swimming, 14/05/2022, 82,  2.61, 99
Cycling, 26/05/2022, 36, 10.43, 103
Swimming, 14/09/2021, 55,  3.47, 132
Running, 25/01/2023, 86,  9.40, 113
Cycling, 01/05/2022, 81, 21.89, 118
Running, 04/01/2022, 70, 10.56, 97
Running, 24/09/2020, 67,  6.71, 101
Swimming, 22/11/2022, 44,  2.09, 95
Running, 09/02/2022, 70, 10.04, 129
Cycling, 24/11/2022, 104, 29.45, 120
Running, 22/04/2021, 111, 12.30, 115
Running, 26/10/2022, 48,  5.43, 125
Cycling, 16/11/2020, 61, 10.80, 134
Swimming, 10/06/2022, 101,  4.99, 109
Swimming, 15/01/2023, 68,  2.38, 151
Running, 04/03/2022, 87, 14.25, 102
Cycling, 26/12/2022, 111, 25.14, 128
Cycling, 04/10/2021, 106, 32.03, 127
Cycling, 08/12/2021, 100, 24.41, 146
Cycling, 09/05/2022, 32,  5.99, 130
Cycling, 05/02/2020, 105, 27.63, 101
Running, 01/01/2021, 87,  9.93, 95
Swimming, 12/04/2020, 111,  3.64, 101
Swimming, 01/05/2020, 63,  2.78, 145
Swimming, 26/01/2022, 67,  2.87, 107
Swimming, 30/07/2021, 119,  3.52, 146
Running, 18/08/2021, 96, 13.12, 149
Swimming, 01/07/2020, 46,  1.83, 109
Running, 04/06/2022, 31,  4.41, 113
Cycling, 13/01/2020, 108, 18.14, 127
Swimming, 13/01/2022, 54,  2.07, 116
Running, 14/11/2022, 47,  6.45, 100
Running, 05/05/2020, 107, 17.79, 116
Cycling, 28/10/2020, 91, 24.80, 112
Swimming, 13/06/2022, 48,  2.41, 92
Cycling, 06/12/2021, 94, 16.85, 90
Running, 31/08/2022, 57,  9.61, 103
Running, 18/11/2021, 91,  9.28, 95
Cycling, 22/05/2021, 43, 12.10, 105
Running, 11/05/2022, 46,  6.05, 114
Cycling, 22/12/2021, 50, 10.29, 92
Swimming, 17/03/2022, 77,  2.59, 99
Cycling, 28/03/2021, 54, 11.03, 139
Cycling, 21/08/2021, 34, 10.10, 97
Running, 26/03/2020, 112, 13.18, 150
Running, 23/09/2020, 69,  7.86, 112
Running, 02/11/2020, 115, 13.90, 120
Running, 12/05/2022, 89, 12.13, 117
Swimming, 08/03/2020, 113,  6.58, 152
Running, 23/09/2020, 45,  5.62, 99
Swimming, 24/03/2020, 93,  3.82, 93
Running, 04/11/2022, 34,  4.95, 136
Cycling, 16/01/2022, 62, 16.45, 119
Swimming, 23/03/2021, 66,  3.60, 148
Cycling, 10/09/2022, 46,  9.74, 105
Cycling, 14/05/2021, 87, 17.43, 118
Swimming, 17/01/2022, 115,  7.15, 143
Running, 11/07/2021, 77, 11.06, 120
Running, 01/07/2020, 89, 14.63, 126
Running, 09/01/2023, 48,  5.83, 120
Cycling, 04/08/2022, 34,  9.72, 103
Swimming, 29/03/2020, 100,  3.27, 120
Cycling, 09/06/2021, 65, 16.02, 127
Cycling, 19/12/2020, 44, 12.40, 133
Cycling, 30/12/2021, 56, 11.71, 121
Cycling, 17/09/2022, 72, 16.42, 102
Swimming, 03/10/2022, 31,  1.83, 112
Cycling, 23/06/2021, 111, 23.23, 147
Swimming, 20/10/2021, 39,  2.31, 99
Swimming, 26/03/2021, 102,  2.77, 114
Cycling, 13/03/2022, 31,  5.80, 99
Swimming, 24/01/2023, 86,  3.19, 150
Cycling, 12/03/2021, 103, 28.40, 132
Swimming, 27/06/2020, 80,  2.47, 113
Cycling, 10/02/2020, 53, 10.01, 141
Running, 27/12/2022, 109, 11.03, 124
Swimming, 04/12/2021, 83,  3.18, 91
Running, 24/10/2022, 81,  9.33, 102
Swimming, 11/03/2020, 101,  4.54, 123
Cycling, 25/09/2021, 88, 24.04, 96
Swimming, 08/08/2021, 97,  3.90, 90
Swimming, 07/10/2021, 88,  4.83, 104
Running, 17/09/2020, 112, 12.88, 138
Cycling, 05/12/2021, 35, 10.75, 93
Swimming, 10/02/2021, 31,  1.49, 119
Cycling, 16/05/2022, 53, 11.11, 130
Swimming, 10/03/2022, 117,  4.28, 136
Cycling, 09/02/2020, 59, 13.99, 116
Cycling, 27/03/2020, 61, 15.18, 90
Running, 06/10/2020, 70,  7.63, 128
Cycling, 07/07/2021, 84, 26.09, 116
Swimming, 29/08/2021, 57,  2.40, 130
Swimming, 17/04/2021, 76,  3.07, 132
Running, 17/01/2020, 31,  4.03, 95
Swimming, 22/07/2021, 103,  2.85, 106
Swimming, 14/04/2020, 44,  2.37, 125
Cycling, 03/12/2021, 79, 19.39, 102
Running, 15/04/2020, 62,  9.44, 146
Running, 25/03/2022, 53,  6.44, 141
Cycling, 11/02/2022, 94, 23.66, 95
Swimming, 15/08/2021, 98,  5.45, 124
Swimming, 06/06/2022, 84,  2.44, 143
